video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,tagCount
56Besjf-K3U,Snakehips,"Snakehips ""Solitude"" w/ BIA & Lucky Daye (Tibasko Remix) [Visualizer]","Snakehips ""Solitude"" w/ BIA & Lucky Daye Out Now - https://helixrecords.ffm.to/solitude","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-02-17 15:00:03+00:00,3527.0,85.0,,1.0,PT3M6S,hd,false,Friday,13
vkHeyeOji14,Snakehips,Snakehips - Baby I Want You (Official Visualizer),"Snakehips - Baby I Want You
Out Now - https://orcd.co/nwr020

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-02-09 23:47:05+00:00,4403.0,94.0,,6.0,PT2M44S,hd,false,Thursday,13
AZBjPgyW-5s,Snakehips,Snakehips - All I Ever (Official Visualizer),"Snakehips - All I Ever 
Out Now - https://orcd.co/nwr020

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-02-09 23:39:07+00:00,13698.0,269.0,,9.0,PT2M53S,hd,false,Thursday,13
CCG3_Ob0yr4,Snakehips,"Snakehips ""Solitude"" w/ BIA & Lucky Daye (4AM Visualizer)","Director / Editor: Justin Kaminuma
Producer / Director of Photography / Additional Editing: Miles Murphy
Talent: Hailey Sarret
Label Rep: Lauren Van Der Laan","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-01-30 09:00:11+00:00,26316.0,646.0,,23.0,PT2M56S,hd,false,Monday,13
xei9r-XoxWY,Snakehips,Never Worry…,,,2023-01-21 14:00:32+00:00,2073.0,44.0,,1.0,PT16S,hd,false,Saturday,0
1y_WCOHtmjA,Snakehips,Never Worry Tour / Spring 2023 #allaroundtheworld,,,2023-01-20 20:22:28+00:00,700.0,31.0,,3.0,PT1M,hd,false,Friday,0
rSxKlHZzajE,Snakehips,2022 was a mad energy... 🚀 | Snakehips Shorts,Anyone kick it at a live show with us this year?,"['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2022-12-31 15:00:41+00:00,464.0,21.0,,0.0,PT33S,hd,false,Saturday,13
nnucDw5xsPE,Snakehips,Snakehips in Australia | Snakehips Shorts,"Australia, we can't wait to see you again (~_~;)","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2022-12-27 07:15:02+00:00,459.0,28.0,,1.0,PT22S,hd,false,Tuesday,13
pnGj5tycO4s,Snakehips,"And there's things that I don't do, but I wanna do it all with you 💓","Shout out for all the love on Solitude x

Check out the full song here with BIA & Lucky Daye: https://youtu.be/GHOMemWFeqA","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2022-12-23 17:15:01+00:00,449.0,20.0,,2.0,PT33S,hd,false,Friday,13
hUnlRHBGYa8,Snakehips,Snakehips Airlines™ is operated globally in partnership with Duckwrth Air™,We Can Go #AllAroundTheWorld - book your flight now at https://youtu.be/m_tbWsRMI_o,"['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2022-12-22 16:30:09+00:00,561.0,19.0,,2.0,PT19S,hd,false,Thursday,13
